vowel,F1,F2
a,813,1283
a,749,1060
a,755,1133
a,832,1222
a,871,1204
a,786,1341
a,748,1293
a,738,1394
a,763,1147
a,829,1444
a,825,1429
a,737,1298
a,679,1208
a,689,1064
a,702,1364
a,811,1355
a,744,1489
a,758,1363
a,784,1345
a,802,1297
a,803,1234
a,683,1238
a,697,1370
a,743,1423
a,710,1084
a,825,1438
a,673,1301
a,707,1421
a,697,1293
a,816,1361
a,722,1411
a,748,1274
a,744,1388
a,700,1295
a,705,1323
a,963,1524
a,711,1428
a,712,1325
a,821,1283
a,822,1315
a,753,1200
a,662,1183
a,682,1259
a,818,1315
a,710,1483
a,1012,1603
a,883,1682
a,1025,1548
a,804,1484
a,935,1377
a,804,1363
a,939,1233
a,827,1701
a,913,1436
a,856,1540
a,882,1380
a,887,1743
a,869,1495
a,994,1609
a,955,1615
a,1085,1687
a,937,1623
a,918,1640
a,818,1351
a,769,1451
a,1008,1495
a,905,1514
a,1063,1680
a,1053,1677
a,798,1351
a,869,1751
a,863,1538
a,938,1462
a,957,1591
a,827,1543
a,708,1547
a,1163,1685
a,1011,1541
a,1035,1486
a,952,1676
a,810,1314
a,993,1671
a,931,1348
a,822,1371
a,875,1491
a,884,1568
a,938,1492
a,914,1383
a,901,1509
a,975,1534
a,796,1502
a,968,1433
a,831,1676
a,1020,1555
a,982,1823
a,932,1874
a,1052,1659
a,881,1543
a,762,1604
a,987,1610
a,1123,1640
a,832,1602
a,968,1808
a,933,1694
a,998,1560
a,871,2042
a,898,1544
a,1010,1705
a,951,1982
a,1010,1604
a,854,1518
a,1119,1588
a,872,1565
a,776,1490
a,1147,1553
a,1065,1483
a,944,1540
a,894,1420
a,1312,1820
a,1007,1742
a,978,1817
a,1026,1544
a,843,1803
a,993,2000
a,1197,1734
a,855,1845
a,1047,1488
a,1154,1932
a,931,1749
a,954,1472
a,1316,1752
a,911,1624
a,1033,1929
a,1129,2005
a,1145,1655
a,1021,1720
e,609,1980
e,517,1917
e,559,1695
e,698,1580
e,555,1851
e,571,1926
e,582,1768
e,560,1697
e,594,1716
e,569,1709
e,577,1811
e,570,1824
e,546,1750
e,554,1790
e,608,1831
e,562,1816
e,583,1757
e,615,1624
e,630,1786
e,629,1810
e,624,1909
e,559,1755
e,609,1675
e,634,1874
e,636,1893
e,620,1832
e,565,1805
e,571,1752
e,608,1871
e,567,1718
e,541,1743
e,543,1840
e,579,1866
e,568,1687
e,583,1760
e,641,1814
e,623,1937
e,562,1591
e,622,1799
e,561,1786
e,723,2208
e,534,1608
e,574,1813
e,557,1996
e,565,1952
e,734,1893
e,740,2186
e,707,2110
e,693,1991
e,743,1981
e,712,1881
e,734,2141
e,732,2189
e,710,2138
e,704,2023
e,766,1922
e,673,2389
e,651,2157
e,817,2242
e,684,1992
e,756,2008
e,750,1935
e,706,1986
e,717,2256
e,727,1871
e,584,2175
e,762,1902
e,981,2075
e,794,2046
e,620,2071
e,741,1997
e,693,2012
e,597,2426
e,886,2186
e,588,2130
e,755,1762
e,885,2322
e,804,1998
e,718,2005
e,773,2042
e,694,2160
e,680,2068
e,694,2052
e,726,2123
e,714,2255
e,623,1882
e,718,1952
e,758,2091
e,676,2196
e,770,1866
e,683,1851
e,709,2088
e,817,1984
e,713,2095
e,674,2196
e,735,2315
e,735,2448
e,787,2176
e,867,2054
e,605,2445
e,699,2202
e,646,2435
e,794,2066
e,742,2355
e,640,2244
e,806,2172
e,734,2242
e,616,2356
e,749,1869
e,710,1993
e,632,2431
e,642,2015
e,699,2169
e,1057,2426
e,744,2227
e,692,2354
e,668,2106
e,699,2194
e,680,2187
e,856,2304
e,653,2241
e,928,2254
e,802,2427
e,809,2265
e,660,2223
e,649,2268
e,741,2418
e,763,2393
e,816,2404
e,793,2228
e,762,2349
e,759,2488
e,621,2275
e,880,2638
e,755,2137
e,533,2480
e,868,2318
e,882,2524
e,733,2421
